   3.30000000 -2027.28147771 
   3.20000000 -2027.28157618 
   3.10000000 -2027.28143942 
   3.00000000 -2027.28096776 
   2.90000000 -2027.28795967 
   2.80000000 -2027.28744832 
   2.70000000 -2027.28673654 
   2.60000000 -2027.28621748 
   2.50000000 -2027.28604162 
   2.40000000 -2027.28650180 
   2.30000000 -2027.28780914 
   2.20000000 -2027.29005891 
   2.10000000 -2027.29326349 
   2.00000000 -2027.29745268 
   1.90000000 -2027.31889902 
   1.80000000 -2027.33228814 
   1.70000000 -2027.34213187 
   1.60000000 -2027.34465305 
