   3.30000000 -2027.32227728 
   3.20000000 -2027.32250943 
   3.10000000 -2027.32255759 
   3.00000000 -2027.32216380 
   2.90000000 -2027.33065853 
   2.80000000 -2027.33034085 
   2.70000000 -2027.32961862 
   2.60000000 -2027.32905612 
   2.50000000 -2027.32883610 
   2.40000000 -2027.32922961 
   2.30000000 -2027.33043796 
   2.20000000 -2027.33260031 
   2.10000000 -2027.33574130 
   2.00000000 -2027.33985789 
   1.90000000 -2027.36017971 
   1.80000000 -2027.37347600 
   1.70000000 -2027.38311105 
   1.60000000 -2027.38548685 
