variant,n,rho_vina,rho_cnn
base,14,0.16501660150520914,-0.2618263410549319
boxxp2,14,-0.028634361233480177,-0.3278329816570155
boxxm2,14,0.11221128902354222,-0.2662267837617375
boxyp2,14,0.14301438797118127,-0.13201328120416733
boxym2,14,0.16721682285861195,-0.31023121082979316
seed7,14,0.03300332030104183,-0.22222235669368165
seed123,14,0.057205755188472505,-0.10341040360993106
